timestamp,reqNum,,,,
1543762968,66,,,,10652
1543762969,5,,,,10653
1543762970,19,,,,10654
1543762971,51,,,,10655
1543762972,18,,,,10656
1543762973,96,,,,10657
1543762974,151,,,,10658
1543762975,6,,,,10659
1543762976,21,,,,10660
1543762977,15,,,,10661
1543762978,1,,,,10662
1543762979,143,,,,10663
1543762981,63,,,,10665
1543762982,50,,,,10666
1543762983,44,,,,10667
1543762984,4,,,,10668
1543762985,181,,,,10669
1543762986,64,,,,10670
1543762987,93,,,,10671
1543762988,93,,,,10672
1543762989,50,,,,10673
1543762990,27,,,,10674
1543762991,108,,,,10675
1543762992,160,,,,10676
1543762993,15,,,,10677
1543762994,296,,,,10678
1543762995,8,,,,10679
1543762996,21,,,,10680
1543762997,14,,,,10681
1543763000,123,,,,10684
1543763001,74,,,,10685
1543763002,68,,,,10686
1543763003,31,,,,10687
1543763005,62,,,,10689
1543763006,4,,,,10690
1543763007,57,,,,10691
1543763008,28,,,,10692
1543763009,32,,,,10693
1543763010,87,,,,10694
1543763011,14,,,,10695
1543763012,51,,,,10696
1543763013,40,,,,10697
1543763014,62,,,,10698
1543763015,15,,,,10699
1543763016,97,,,,10700
1543763017,8,,,,10701
1543763018,57,,,,10702
1543763019,31,,,,10703
1543763020,77,,,,10704
1543763021,45,,,,10705
1543763022,123,,,,10706
1543763023,148,,,,10707
1543763024,231,,,,10708
1543763025,175,,,,10709
1543763026,43,,,,10710
1543763027,158,,,,10711
1543763028,73,,,,10712
1543763029,88,,,,10713
1543763030,182,,,,10714
1543763031,20,,,,10715
1543763032,5,,,,10716
1543763033,3,,,,10717
1543763034,122,,,,10718
1543763035,112,,,,10719
1543763036,145,,,,10720
1543763037,27,,,,10721
1543763038,94,,,,10722
1543763039,39,,,,10723
1543763040,134,,,,10724
1543763041,21,,,,10725
1543763042,10,,,,10726
1543763043,9,,,,10727
1543763044,128,,,,10728
1543763045,8,,,,10729
1543763046,33,,,,10730
1543763047,90,,,,10731
1543763048,41,,,,10732
1543763049,7,,,,10733
1543763050,12,,,,10734
1543763051,67,,,,10735
1543763052,2,,,,10736
1543763053,52,,,,10737
1543763054,29,,,,10738
1543763055,18,,,,10739
1543763056,50,,,,10740
1543763057,34,,,,10741
1543763058,68,,,,10742
1543763059,57,,,,10743
1543763060,160,,,,10744
1543763061,43,,,,10745
1543763062,123,,,,10746
1543763063,81,,,,10747
1543763064,14,,,,10748
1543763065,198,,,,10749
1543763066,29,,,,10750
1543763067,125,,,,10751
1543763068,131,,,,10752
1543763069,15,,,,10753
1543763070,161,,,,10754
1543763071,70,,,,10755
1543763072,2,,,,10756
1543763073,1,,,,10757
1543763074,116,,,,10758
1543763075,38,,,,10759
1543763076,53,,,,10760
1543763077,18,,,,10761
1543763078,116,,,,10762
1543763079,77,,,,10763
1543763080,17,,,,10764
1543763081,1,,,,10765
1543763082,1,,,,10766
1543763083,5,,,,10767
1543763085,77,,,,10769
1543763086,137,,,,10770
1543763087,44,,,,10771
1543763088,84,,,,10772
1543763089,41,,,,10773
1543763090,65,,,,10774
1543763091,25,,,,10775
1543763092,11,,,,10776
1543763093,54,,,,10777
1543763094,18,,,,10778
1543763095,3,,,,10779
1543763096,35,,,,10780
1543763097,77,,,,10781
1543763099,13,,,,10783
1543763100,11,,,,10784
1543763101,30,,,,10785
1543763102,19,,,,10786
1543763103,141,,,,10787
1543763104,143,,,,10788
1543763105,19,,,,10789
1543763106,47,,,,10790
1543763107,17,,,,10791
1543763108,29,,,,10792
1543763109,256,,,,10793
1543763110,336,,,,10794
1543763111,323,,,,10795
1543763112,186,,,,10796
1543763113,28,,,,10797
1543763114,1,,,,10798
1543763115,18,,,,10799
1543763116,28,,,,10800
1543763117,100,,,,10801
1543763118,91,,,,10802
1543763119,15,,,,10803
1543763120,48,,,,10804
1543763121,54,,,,10805
1543763122,104,,,,10806
1543763123,109,,,,10807
1543763124,46,,,,10808
1543763125,39,,,,10809
1543763126,31,,,,10810
1543763127,94,,,,10811
1543763128,74,,,,10812
1543763129,45,,,,10813
1543763130,23,,,,10814
1543763131,78,,,,10815
1543763132,87,,,,10816
1543763133,100,,,,10817
1543763134,72,,,,10818
1543763135,20,,,,10819
1543763136,47,,,,10820
1543763137,90,,,,10821
1543763138,69,,,,10822
1543763139,46,,,,10823
1543763140,25,,,,10824
1543763141,37,,,,10825
1543763142,53,,,,10826
1543763143,29,,,,10827
1543763144,41,,,,10828
1543763145,90,,,,10829
1543763146,39,,,,10830
1543763147,26,,,,10831
1543763148,20,,,,10832
1543763149,12,,,,10833
1543763150,9,,,,10834
1543763151,14,,,,10835
1543763152,14,,,,10836
1543763153,14,,,,10837
1543763154,6,,,,10838
1543763155,9,,,,10839
1543763156,4,,,,10840
1543763157,11,,,,10841
1543763158,11,,,,10842
1543763159,31,,,,10843
1543763160,28,,,,10844
1543763161,21,,,,10845
1543763162,9,,,,10846
1543763163,9,,,,10847
1543763164,4,,,,10848
1543763165,3,,,,10849
1543763166,96,,,,10850
1543763167,25,,,,10851
1543763168,20,,,,10852
1543763169,7,,,,10853
1543763170,2,,,,10854
1543763171,7,,,,10855
1543763172,6,,,,10856
1543763173,21,,,,10857
1543763174,5,,,,10858
1543763175,56,,,,10859
1543763176,75,,,,10860
1543763177,19,,,,10861
1543763178,6,,,,10862
1543763179,33,,,,10863
1543763180,7,,,,10864
1543763181,59,,,,10865
1543763182,21,,,,10866
1543763183,124,,,,10867
1543763184,47,,,,10868
1543763185,146,,,,10869
1543763186,48,,,,10870
1543763187,35,,,,10871
1543763188,44,,,,10872
1543763189,56,,,,10873
1543763190,7,,,,10874
1543763191,51,,,,10875
1543763192,5,,,,10876
1543763193,104,,,,10877
1543763194,3,,,,10878
